ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	method
hsa04979	Cholesterol metabolism	12/67	51/8265	0.235294117647059	29.0254609306409	18.1484317063453	3.55534767179325e-15	7.4306766340479e-13	6.21250224755453e-13	4018/6272/348/3949/3988/1071/4864/4023/255738/3990/64241/949	12	KEGG
hsa04934	Cushing syndrome	9/67	155/8265	0.0580645161290323	7.16273471352913	7.00176440743912	3.84186303438158e-06	0.000401474687092875	0.000335657507214391	776/1026/3949/1030/6934/817/3777/949/7482	9	KEGG
hsa04925	Aldosterone synthesis and secretion	7/67	98/8265	0.0714285714285714	8.81130063965885	7.03207852671277	1.29142068135303e-05	0.00089968974134261	0.000752195905630185	776/5578/3949/817/5587/3777/949	7	KEGG
hsa05226	Gastric cancer	6/67	149/8265	0.0402684563758389	4.96744465591506	4.41785635559978	0.00125292431804085	0.0641717859166173	0.0536515560924627	1026/2250/1030/6934/4088/7482	6	KEGG
hsa05217	Basal cell carcinoma	4/67	63/8265	0.0634920634920635	7.83226723525231	4.92100533363085	0.00164058543367506	0.0641717859166173	0.0536515560924627	1026/6934/51684/7482	4	KEGG
hsa04927	Cortisol synthesis and secretion	4/67	65/8265	0.0615384615384615	7.59127439724455	4.82278323568138	0.00184225222727131	0.0641717859166173	0.0536515560924627	776/3949/3777/949	4	KEGG
hsa04722	Neurotrophin signaling pathway	5/67	119/8265	0.0420168067226891	5.18311802332874	4.15508578404073	0.00269678066355403	0.0805181655261132	0.0673181338571382	6272/10019/627/817/7531	5	KEGG
hsa04114	Oocyte meiosis	5/67	133/8265	0.037593984962406	4.63752665245203	3.82306707967633	0.00435105266237774	0.104912253995824	0.0877130907242847	29945/5241/817/80315/7531	5	KEGG
hsa04975	Fat digestion and absorption	3/67	42/8265	0.0714285714285714	8.81130063965885	4.58787368082098	0.00466423543299726	0.104912253995824	0.0877130907242847	8613/64241/949	3	KEGG
hsa04610	Complement and coagulation cascades	4/67	86/8265	0.0465116279069767	5.73759111419646	3.99241147921937	0.00508940494919387	0.104912253995824	0.0877130907242847	2160/2147/2153/2266	4	KEGG
hsa04976	Bile secretion	4/67	88/8265	0.0454545454545455	5.60719131614654	3.92788878651363	0.00552169757872756	0.104912253995824	0.0877130907242847	3156/3949/64241/949	4	KEGG
hsa05224	Breast cancer	5/67	148/8265	0.0337837837837838	4.1675070592981	3.5150319327887	0.00681856967083939	0.109908480454562	0.0918902430393216	1026/2250/6934/5241/7482	5	KEGG
hsa04151	PI3K-Akt signaling pathway	8/67	359/8265	0.0222841225626741	2.74892944747017	3.06280754387816	0.00814334090941405	0.109908480454562	0.0918902430393216	1026/2250/5578/627/3717/7531/57521/1284	8	KEGG
hsa04933	AGE-RAGE signaling pathway in diabetic complications	4/67	99/8265	0.0404040404040404	4.98417005879693	3.60520010903151	0.0083422022257338	0.109908480454562	0.0918902430393216	5578/3717/4088/1284	4	KEGG
hsa04390	Hippo signaling pathway	5/67	157/8265	0.0318471337579618	3.92860538073961	3.34913312567835	0.00869831895376203	0.109908480454562	0.0918902430393216	6934/4092/7531/4088/7482	5	KEGG
hsa04110	Cell cycle	5/67	158/8265	0.0316455696202532	3.90374078972228	3.33146228364705	0.00892725345403886	0.109908480454562	0.0918902430393216	1026/1030/29945/7531/4088	5	KEGG
hsa04916	Melanogenesis	4/67	101/8265	0.0396039603960396	4.88547362198906	3.55166301181675	0.00893992424750027	0.109908480454562	0.0918902430393216	5578/6934/817/7482	4	KEGG
hsa05206	MicroRNAs in cancer	5/67	161/8265	0.031055900621118	3.83100027811254	3.279304405655	0.00963910199439891	0.111920684268298	0.0935725690684339	1026/9839/5578/57521/27086	5	KEGG
hsa05225	Hepatocellular carcinoma	5/67	167/8265	0.029940119760479	3.6933595495576	3.17864685850047	0.0111787144038308	0.11554162638189	0.0965998991659218	1026/5578/6934/4088/7482	5	KEGG
hsa04820	Cytoskeleton in muscle cells	6/67	233/8265	0.0257510729613734	3.17660623919031	3.04666412679124	0.0112055566272834	0.11554162638189	0.0965998991659218	7273/88/2201/2318/4629/1284	6	KEGG
hsa04350	TGF-beta signaling pathway	4/67	109/8265	0.036697247706422	4.52690675065042	3.35079004385601	0.0116094457130129	0.11554162638189	0.0965998991659218	1030/4092/5308/4088	4	KEGG
hsa04310	Wnt signaling pathway	5/67	173/8265	0.0289017341040462	3.56526615477526	3.08252171288694	0.0128791197291615	0.122351637427034	0.102293486844058	5578/6934/817/4088/7482	5	KEGG
hsa04725	Cholinergic synapse	4/67	115/8265	0.0347826086956522	4.29072031148605	3.21247447961849	0.013916625463222	0.12455249979647	0.10413354301795	776/5578/3717/817	4	KEGG
hsa00561	Glycerolipid metabolism	3/67	63/8265	0.0476190476190476	5.87420042643923	3.5106891270197	0.0143026794024654	0.12455249979647	0.10413354301795	8613/4023/3990	3	KEGG
hsa05031	Amphetamine addiction	3/67	69/8265	0.0434782608695652	5.36340038935756	3.29023740382319	0.0182349244640138	0.152443968519155	0.127452524674791	776/5578/817	3	KEGG
hsa05207	Chemical carcinogenesis - receptor activation	5/67	196/8265	0.0255102040816327	3.14689308559245	2.74983853606084	0.0210109384910933	0.168895620947634	0.141207116984675	776/2250/5578/3717/5241	5	KEGG
hsa05205	Proteoglycans in cancer	5/67	200/8265	0.025	3.0839552238806	2.69699284324557	0.0227034920914877	0.169433850377439	0.141657109859758	1026/857/5578/817/7482	5	KEGG
hsa04270	Vascular smooth muscle contraction	4/67	134/8265	0.0298507462686567	3.68233459567832	2.82990572829821	0.0230702835916418	0.169433850377439	0.141657109859758	776/1909/5578/4629	4	KEGG
hsa05214	Glioma	3/67	76/8265	0.0394736842105263	4.86940298507463	3.0634720444838	0.0235099601002188	0.169433850377439	0.141657109859758	1026/5578/817	3	KEGG
hsa04550	Signaling pathways regulating pluripotency of stem cells	4/67	144/8265	0.0277777777777778	3.42661691542289	2.65556117220164	0.0290769927175143	0.198761464220966	0.166176797082248	463/3717/4088/7482	4	KEGG
hsa04012	ErbB signaling pathway	3/67	84/8265	0.0357142857142857	4.40565031982942	2.83605794175698	0.0304486314822685	0.198761464220966	0.166176797082248	1026/5578/817	3	KEGG
hsa04911	Insulin secretion	3/67	86/8265	0.0348837209302326	4.30319333564734	2.78363131672585	0.0323344008780519	0.198761464220966	0.166176797082248	776/5578/817	3	KEGG
hsa05210	Colorectal cancer	3/67	86/8265	0.0348837209302326	4.30319333564734	2.78363131672585	0.0323344008780519	0.198761464220966	0.166176797082248	1026/6934/4088	3	KEGG
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	3/67	86/8265	0.0348837209302326	4.30319333564734	2.78363131672585	0.0323344008780519	0.198761464220966	0.166176797082248	776/88/6934	3	KEGG
hsa05216	Thyroid cancer	2/67	37/8265	0.0540540540540541	6.66801129487697	3.12365474864017	0.035935550546088	0.200383682523024	0.167533071260751	1026/6934	2	KEGG
hsa04921	Oxytocin signaling pathway	4/67	154/8265	0.025974025974026	3.20410932351231	2.49594430389802	0.0359358448337118	0.200383682523024	0.167533071260751	776/1026/5578/817	4	KEGG
hsa04150	mTOR signaling pathway	4/67	156/8265	0.0256410256410256	3.16303099885189	2.46558506693087	0.0374111631577276	0.200383682523024	0.167533071260751	5578/57521/7482/58528	4	KEGG
hsa05160	Hepatitis C	4/67	156/8265	0.0256410256410256	3.16303099885189	2.46558506693087	0.0374111631577276	0.200383682523024	0.167533071260751	1026/3949/7531/949	4	KEGG
hsa04218	Cellular senescence	4/67	157/8265	0.0254777070063694	3.14288430459169	2.45058786554293	0.0381618257512954	0.200383682523024	0.167533071260751	776/1026/1030/4088	4	KEGG
hsa04912	GnRH signaling pathway	3/67	92/8265	0.0326086956521739	4.02255029201817	2.63545314016385	0.0383509440235454	0.200383682523024	0.167533071260751	776/5578/817	3	KEGG
hsa05222	Small cell lung cancer	3/67	93/8265	0.032258064516129	3.97929706307174	2.61197912908965	0.0394056950863406	0.200872933488907	0.167942115130489	1026/1030/1284	3	KEGG
hsa05161	Hepatitis B	4/67	161/8265	0.0248447204968944	3.06480022249003	2.39177244833172	0.0412512897323734	0.205274275096811	0.171621907157243	1026/5578/3717/4088	4	KEGG
hsa04713	Circadian entrainment	3/67	97/8265	0.0309278350515464	3.81520233882136	2.52125176844194	0.0437715968488652	0.21275031956774	0.177872339704079	776/5578/817	3	KEGG
hsa04914	Progesterone-mediated oocyte maturation	3/67	104/8265	0.0288461538461538	3.55840987370838	2.37352440637367	0.0519690497718221	0.246852986416155	0.206384264644078	29945/5241/80315	3	KEGG
hsa04020	Calcium signaling pathway	5/67	253/8265	0.0197628458498024	2.4379092678898	2.09990608394621	0.053749052893099	0.249634490103504	0.208709772637531	776/2250/1909/5578/817	5	KEGG
hsa04066	HIF-1 signaling pathway	3/67	108/8265	0.0277777777777778	3.42661691542289	2.29470290716932	0.0569648043962316	0.255787867226122	0.213854374009248	1026/5578/817	3	KEGG
hsa03272	Virion - Hepatitis viruses	2/67	48/8265	0.0416666666666667	5.13992537313433	2.60036963677581	0.0575216734910417	0.255787867226122	0.213854374009248	3949/949	2	KEGG
hsa04913	Ovarian steroidogenesis	2/67	52/8265	0.0384615384615385	4.74454649827784	2.44866056371047	0.0662504108635188	0.288465330634905	0.241174741301406	3949/949	2	KEGG
hsa04935	Growth hormone synthesis, secretion and action	3/67	121/8265	0.0247933884297521	3.05846799062539	2.06203731145303	0.0747002541903759	0.318619451546705	0.266385439218097	776/5578/3717	3	KEGG
hsa05213	Endometrial cancer	2/67	59/8265	0.0338983050847458	4.181634201872	2.21711946433739	0.0824923911623846	0.344818195058767	0.288289198588544	1026/6934	2	KEGG
hsa04068	FoxO signaling pathway	3/67	131/8265	0.0229007633587786	2.82499715164635	1.90337496772413	0.0898150339299627	0.353836330594316	0.295828914019927	1026/1030/4088	3	KEGG
hsa04728	Dopaminergic synapse	3/67	131/8265	0.0229007633587786	2.82499715164635	1.90337496772413	0.0898150339299627	0.353836330594316	0.295828914019927	776/5578/817	3	KEGG
hsa04142	Lysosome	3/67	132/8265	0.0227272727272727	2.80359565807327	1.88833637573561	0.0913928394610765	0.353836330594316	0.295828914019927	6272/3988/4864	3	KEGG
hsa04010	MAPK signaling pathway	5/67	297/8265	0.0168350168350168	2.07673752449872	1.70840962340309	0.0923010958411707	0.353836330594316	0.295828914019927	776/2250/5578/627/1848	5	KEGG
hsa03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	1/67	12/8265	0.0833333333333333	10.2798507462687	2.90806621091784	0.0931148238406095	0.353836330594316	0.295828914019927	4864	1	KEGG
hsa05417	Lipid and atherosclerosis	4/67	214/8265	0.0186915887850467	2.30576091505091	1.74954145247451	0.0950921718351156	0.354897569884628	0.296716175274985	5578/3949/3717/817	4	KEGG
hsa04929	GnRH secretion	2/67	65/8265	0.0307692307692308	3.79563719862227	2.04554558071488	0.097277637196604	0.356684669720881	0.298210300547299	776/5578	2	KEGG
hsa04720	Long-term potentiation	2/67	67/8265	0.0298507462686567	3.68233459567832	1.99285175741639	0.10236349956618	0.365519578043646	0.305596826770311	5578/817	2	KEGG
hsa05166	Human T-cell leukemia virus 1 infection	4/67	221/8265	0.0180995475113122	2.23272776389546	1.67921336397555	0.10391224070999	0.365519578043646	0.305596826770311	1026/1030/29945/4088	4	KEGG
hsa05221	Acute myeloid leukemia	2/67	68/8265	0.0294117647058824	3.62818261633011	1.96725712010026	0.104933850156071	0.365519578043646	0.305596826770311	6934/1848	2	KEGG
hsa04924	Renin secretion	2/67	69/8265	0.0289855072463768	3.57560025957171	1.94214043066244	0.107521877788669	0.367831152151998	0.307529444760673	776/1909	2	KEGG
hsa04024	cAMP signaling pathway	4/67	225/8265	0.0177777777777778	2.19303482587065	1.64019300209006	0.10911737527954	0.367831152151998	0.307529444760673	776/1909/627/817	4	KEGG
hsa05218	Melanoma	2/67	73/8265	0.0273972602739726	3.37967695767737	1.84613332629344	0.118041955801888	0.380739861012254	0.318321918549656	1026/2250	2	KEGG
hsa05223	Non-small cell lung cancer	2/67	73/8265	0.0273972602739726	3.37967695767737	1.84613332629344	0.118041955801888	0.380739861012254	0.318321918549656	1026/5578	2	KEGG
hsa04072	Phospholipase D signaling pathway	3/67	149/8265	0.0201342281879195	2.48372232795753	1.65216472692059	0.119916851474271	0.380739861012254	0.318321918549656	2147/5578/8613	3	KEGG
hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	1/67	16/8265	0.0625	7.70988805970149	2.42858446757804	0.122212688289849	0.380739861012254	0.318321918549656	28	1	KEGG
hsa05212	Pancreatic cancer	2/67	75/8265	0.0266666666666667	3.28955223880597	1.80060244838125	0.123396774522064	0.380739861012254	0.318321918549656	1026/4088	2	KEGG
hsa04971	Gastric acid secretion	2/67	76/8265	0.0263157894736842	3.24626865671642	1.77840903643129	0.126096418155087	0.380739861012254	0.318321918549656	5578/817	2	KEGG
hsa05220	Chronic myeloid leukemia	2/67	77/8265	0.025974025974026	3.20410932351231	1.75658097960045	0.128810342965566	0.380739861012254	0.318321918549656	1026/4088	2	KEGG
hsa04261	Adrenergic signaling in cardiomyocytes	3/67	154/8265	0.0194805194805195	2.40308199263423	1.58885699092127	0.128873572491599	0.380739861012254	0.318321918549656	776/5578/817	3	KEGG
hsa03273	Virion - Lassa virus and SFTS virus	1/67	17/8265	0.0588235294117647	7.25636523266023	2.33426859489511	0.129342249434785	0.380739861012254	0.318321918549656	4629	1	KEGG
hsa01521	EGFR tyrosine kinase inhibitor resistance	2/67	79/8265	0.0253164556962025	3.12299263177782	1.71397609697076	0.134279443615477	0.384676392240068	0.321613100538158	5578/3717	2	KEGG
hsa04148	Efferocytosis	3/67	157/8265	0.0191082802547771	2.35716322844377	1.55204260540752	0.134360653748923	0.384676392240068	0.321613100538158	3988/3717/817	3	KEGG
hsa04144	Endocytosis	4/67	250/8265	0.016	1.97373134328358	1.41330530545655	0.144193330376914	0.407248730388851	0.340484962198687	857/3949/2869/4088	4	KEGG
hsa04022	cGMP-PKG signaling pathway	3/67	165/8265	0.0181818181818182	2.24287652645862	1.45782719362029	0.149381815736934	0.413573671681399	0.345773001758309	776/1909/2969	3	KEGG
hsa00100	Steroid biosynthesis	1/67	20/8265	0.05	6.16791044776119	2.09176670428067	0.150390426065963	0.413573671681399	0.345773001758309	3988	1	KEGG
hsa04530	Tight junction	3/67	169/8265	0.0177514792899408	2.18979069151285	1.4127238204328	0.157091437055301	0.426391043435817	0.356489112114559	776/93643/4629	3	KEGG
hsa04727	GABAergic synapse	2/67	89/8265	0.0224719101123595	2.77209458326346	1.51946275318188	0.162351216281358	0.43501800260005	0.363701780063502	776/5578	2	KEGG
hsa05032	Morphine addiction	2/67	91/8265	0.021978021978022	2.71116942758734	1.48379871435649	0.168090616140652	0.444417242239328	0.371560121942727	5578/2869	2	KEGG
hsa00900	Terpenoid backbone biosynthesis	1/67	23/8265	0.0434782608695652	5.36340038935756	1.89431098438531	0.170937175787046	0.444417242239328	0.371560121942727	3156	1	KEGG
hsa04520	Adherens junction	2/67	93/8265	0.021505376344086	2.65286470871449	1.44908279737634	0.173865324907875	0.444417242239328	0.371560121942727	6934/4088	2	KEGG
hsa05010	Alzheimer disease	5/67	372/8265	0.0134408602150538	1.65804044294656	1.17403651119118	0.18274811034994	0.444417242239328	0.371560121942727	776/348/25825/4023/7482	5	KEGG
hsa04360	Axon guidance	3/67	182/8265	0.0164835164835165	2.0333770706905	1.27434442720555	0.182963784396944	0.444417242239328	0.371560121942727	5578/54437/817	3	KEGG
hsa04070	Phosphatidylinositol signaling system	2/67	97/8265	0.0206185567010309	2.5434682258809	1.38230632319857	0.185510414473603	0.444417242239328	0.371560121942727	5578/3633	2	KEGG
hsa04666	Fc gamma R-mediated phagocytosis	2/67	98/8265	0.0204081632653061	2.51751446847396	1.36613368246926	0.18843980773392	0.444417242239328	0.371560121942727	5578/8613	2	KEGG
hsa04750	Inflammatory mediator regulation of TRP channels	2/67	98/8265	0.0204081632653061	2.51751446847396	1.36613368246926	0.18843980773392	0.444417242239328	0.371560121942727	5578/817	2	KEGG
hsa05231	Choline metabolism in cancer	2/67	98/8265	0.0204081632653061	2.51751446847396	1.36613368246926	0.18843980773392	0.444417242239328	0.371560121942727	5578/8613	2	KEGG
hsa04950	Maturity onset diabetes of the young	1/67	26/8265	0.0384615384615385	4.74454649827784	1.72873031968119	0.190994267265441	0.444417242239328	0.371560121942727	6927	1	KEGG
hsa04977	Vitamin digestion and absorption	1/67	26/8265	0.0384615384615385	4.74454649827784	1.72873031968119	0.190994267265441	0.444417242239328	0.371560121942727	949	1	KEGG
hsa05410	Hypertrophic cardiomyopathy	2/67	99/8265	0.0202020202020202	2.49208502939846	1.35015951409864	0.19137584594038	0.444417242239328	0.371560121942727	7273/776	2	KEGG
hsa01040	Biosynthesis of unsaturated fatty acids	1/67	27/8265	0.037037037037037	4.56882255389718	1.67909219058859	0.197573146266923	0.447745514091912	0.374342761718748	51144	1	KEGG
hsa05415	Diabetic cardiomyopathy	3/67	190/8265	0.0157894736842105	1.94776119402985	1.19476655293319	0.199430153143857	0.447745514091912	0.374342761718748	5578/817/4088	3	KEGG
hsa05146	Amoebiasis	2/67	103/8265	0.0194174757281553	2.39530502825677	1.28815485605913	0.203180626494061	0.447745514091912	0.374342761718748	5578/1284	2	KEGG
hsa00062	Fatty acid elongation	1/67	28/8265	0.0357142857142857	4.40565031982942	1.63182332055278	0.204099317570652	0.447745514091912	0.374342761718748	51144	1	KEGG
hsa00601	Glycosphingolipid biosynthesis - lacto and neolacto series	1/67	28/8265	0.0357142857142857	4.40565031982942	1.63182332055278	0.204099317570652	0.447745514091912	0.374342761718748	28	1	KEGG
hsa05167	Kaposi sarcoma-associated herpesvirus infection	3/67	193/8265	0.0155440414507772	1.91748511329364	1.16591181361576	0.20569806810504	0.447745514091912	0.374342761718748	1026/6934/3717	3	KEGG
hsa05414	Dilated cardiomyopathy	2/67	105/8265	0.019047619047619	2.34968017057569	1.2582271034384	0.209115433902607	0.447745514091912	0.374342761718748	7273/776	2	KEGG
hsa04659	Th17 cell differentiation	2/67	106/8265	0.0188679245283019	2.32751337651366	1.24351769786214	0.212089980359327	0.447745514091912	0.374342761718748	3717/4088	2	KEGG
hsa05215	Prostate cancer	2/67	106/8265	0.0188679245283019	2.32751337651366	1.24351769786214	0.212089980359327	0.447745514091912	0.374342761718748	1026/6934	2	KEGG
hsa04510	Focal adhesion	3/67	200/8265	0.015	1.85037313432836	1.10052760783467	0.220498736791842	0.457397560644737	0.38241246571154	857/5578/1284	3	KEGG
hsa05145	Toxoplasmosis	2/67	109/8265	0.018348623853211	2.26345337532521	1.20036260956864	0.221039012560375	0.457397560644737	0.38241246571154	3949/3717	2	KEGG
hsa05203	Viral carcinogenesis	3/67	203/8265	0.0147783251231527	1.82302771855011	1.07329642458459	0.226910487918283	0.46225324481383	0.386472116036746	1026/1030/7531	3	KEGG
hsa04136	Autophagy - other	1/67	32/8265	0.03125	3.85494402985075	1.46275680953822	0.229685196038455	0.46225324481383	0.386472116036746	57521	1	KEGG
hsa04726	Serotonergic synapse	2/67	112/8265	0.0178571428571429	2.20282515991471	1.15859431348891	0.230020753400183	0.46225324481383	0.386472116036746	776/5578	2	KEGG
hsa04130	SNARE interactions in vesicular transport	1/67	33/8265	0.0303030303030303	3.73812754409769	1.42474309785897	0.235954003504193	0.46536698717649	0.389075395977323	9570	1	KEGG
hsa04928	Parathyroid hormone synthesis, secretion and action	2/67	114/8265	0.0175438596491228	2.16417910447761	1.13147608138409	0.236023448041665	0.46536698717649	0.389075395977323	1026/5578	2	KEGG
hsa04015	Rap1 signaling pathway	3/67	210/8265	0.0142857142857143	1.76226012793177	1.01148320739684	0.242011525704733	0.468384111644916	0.391597897421587	2250/5578/5587	3	KEGG
hsa04724	Glutamatergic synapse	2/67	116/8265	0.0172413793103448	2.12686567164179	1.10491172767323	0.242035808888282	0.468384111644916	0.391597897421587	776/5578	2	KEGG
hsa04152	AMPK signaling pathway	2/67	122/8265	0.0163934426229508	2.02226572057744	1.02832429027057	0.260112708130135	0.4950081130306	0.413857198504556	3156/57521	2	KEGG
hsa05143	African trypanosomiasis	1/67	37/8265	0.027027027027027	3.33400564743848	1.28627616366323	0.260530585805579	0.4950081130306	0.413857198504556	5578	1	KEGG
hsa04960	Aldosterone-regulated sodium reabsorption	1/67	38/8265	0.0263157894736842	3.24626865671642	1.25461751303253	0.266552030962486	0.501886256496932	0.419607749073235	5578	1	KEGG
hsa04611	Platelet activation	2/67	126/8265	0.0158730158730159	1.95806680881308	0.979657215833131	0.272179921239855	0.507907174456516	0.424641606445639	2147/2266	2	KEGG
hsa04926	Relaxin signaling pathway	2/67	128/8265	0.015625	1.92747201492537	0.955987557322577	0.278213415545045	0.509626476970217	0.426079048990461	5578/1284	2	KEGG
hsa05219	Bladder cancer	1/67	40/8265	0.025	3.0839552238806	1.19434287865899	0.278450384281743	0.509626476970217	0.426079048990461	1026	1	KEGG
hsa05165	Human papillomavirus infection	4/67	331/8265	0.0120845921450151	1.49073364296343	0.82374412487773	0.280416482543421	0.509626476970217	0.426079048990461	1026/6934/1284/7482	4	KEGG
hsa04810	Regulation of actin cytoskeleton	3/67	231/8265	0.012987012987013	1.60205466175615	0.838985776841568	0.28820298178154	0.518795309517253	0.433744756383097	2250/2147/4629	3	KEGG
hsa05171	Coronavirus disease - COVID-19	3/67	232/8265	0.0129310344827586	1.59514925373134	0.831207782745307	0.290426082361333	0.518795309517253	0.433744756383097	2147/5578/2266	3	KEGG
hsa04014	Ras signaling pathway	3/67	234/8265	0.0128205128205128	1.58151549942595	0.815761132202329	0.294876595839634	0.519764124900337	0.434554745572682	2250/5578/627	3	KEGG
hsa03022	Basal transcription factors	1/67	43/8265	0.0232558139534884	2.86879555709823	1.11067215257886	0.295942252933685	0.519764124900337	0.434554745572682	2969	1	KEGG
hsa02010	ABC transporters	1/67	45/8265	0.0222222222222222	2.74129353233831	1.05881706849831	0.30737074137262	0.534087209319038	0.446529724235509	64241	1	KEGG
hsa00860	Porphyrin metabolism	1/67	46/8265	0.0217391304347826	2.68170019467878	1.03394300331027	0.313016259660702	0.534087209319038	0.446529724235509	3145	1	KEGG
hsa04930	Type II diabetes mellitus	1/67	46/8265	0.0217391304347826	2.68170019467878	1.03394300331027	0.313016259660702	0.534087209319038	0.446529724235509	776	1	KEGG
hsa04723	Retrograde endocannabinoid signaling	2/67	140/8265	0.0142857142857143	1.76226012793177	0.822307279822738	0.314319266728429	0.534087209319038	0.446529724235509	776/5578	2	KEGG
hsa05022	Pathways of neurodegeneration - multiple diseases	5/67	462/8265	0.0108225108225108	1.33504555146346	0.66999666190733	0.319770022382447	0.538967215144609	0.450609708959985	776/5578/627/817/7482	5	KEGG
hsa04973	Carbohydrate digestion and absorption	1/67	48/8265	0.0208333333333333	2.56996268656716	0.986124853243283	0.32417165132625	0.54201500101749	0.453157845222379	776	1	KEGG
hsa05030	Cocaine addiction	1/67	49/8265	0.0204081632653061	2.51751446847396	0.963117477100924	0.32968223905427	0.546853872717003	0.457203439289965	627	1	KEGG
hsa05110	Vibrio cholerae infection	1/67	50/8265	0.02	2.46716417910448	0.940672682287906	0.335148559646208	0.551543692646122	0.461124416918944	5578	1	KEGG
hsa00565	Ether lipid metabolism	1/67	51/8265	0.0196078431372549	2.41878841088674	0.918763999794931	0.340570963359379	0.556088526110237	0.464924176954416	8613	1	KEGG
hsa04961	Endocrine and other factor-regulated calcium reabsorption	1/67	52/8265	0.0192307692307692	2.37227324913892	0.897366714326211	0.345949797722043	0.560492307937264	0.468606009154298	5578	1	KEGG
hsa04518	Integrin signaling	2/67	153/8265	0.0130718954248366	1.61252560725783	0.691328709390198	0.353010403998997	0.567532111044541	0.474491717116061	2266/1284	2	KEGG
hsa00600	Sphingolipid metabolism	1/67	55/8265	0.0181818181818182	2.24287652645862	0.8360193906917	0.361828319492244	0.577268082243351	0.482631587269687	8613	1	KEGG
hsa04340	Hedgehog signaling pathway	1/67	56/8265	0.0178571428571429	2.20282515991471	0.816450742064578	0.36703629788372	0.581140804982557	0.48586942144097	51684	1	KEGG
hsa01212	Fatty acid metabolism	1/67	57/8265	0.0175438596491228	2.16417910447761	0.797291533952683	0.372202404357321	0.584889492561505	0.489003554596876	51144	1	KEGG
hsa04370	VEGF signaling pathway	1/67	59/8265	0.0169491525423729	2.090817100936	0.760135098212834	0.382410325317275	0.592030235272298	0.494973654269461	5578	1	KEGG
hsa04730	Long-term depression	1/67	60/8265	0.0166666666666667	2.05597014925373	0.742107075994684	0.387452795242177	0.592030235272298	0.494973654269461	5578	1	KEGG
hsa04140	Autophagy - animal	2/67	165/8265	0.0121212121212121	1.49525101763908	0.580902757283195	0.388077235561267	0.592030235272298	0.494973654269461	57521/58528	2	KEGG
hsa04217	Necroptosis	2/67	165/8265	0.0121212121212121	1.49525101763908	0.580902757283195	0.388077235561267	0.592030235272298	0.494973654269461	3717/817	2	KEGG
hsa04630	JAK-STAT signaling pathway	2/67	168/8265	0.0119047619047619	1.46855010660981	0.554660464313153	0.396722377408302	0.597554115477701	0.499591957538647	1026/3717	2	KEGG
hsa04213	Longevity regulating pathway - multiple species	1/67	62/8265	0.0161290322580645	1.98964853153587	0.707080844862485	0.397416373451677	0.597554115477701	0.499591957538647	57521	1	KEGG
hsa05164	Influenza A	2/67	171/8265	0.0116959064327485	1.44278606965174	0.528918798857409	0.405313495182579	0.599359405659354	0.50110129105743	5578/3717	2	KEGG
hsa00140	Steroid hormone biosynthesis	1/67	64/8265	0.015625	1.92747201492537	0.673342448602449	0.407220266046068	0.599359405659354	0.50110129105743	51144	1	KEGG
hsa05321	Inflammatory bowel disease	1/67	64/8265	0.015625	1.92747201492537	0.673342448602449	0.407220266046068	0.599359405659354	0.50110129105743	4088	1	KEGG
hsa05152	Tuberculosis	2/67	176/8265	0.0113636363636364	1.40179782903664	0.487074171735988	0.419505437992124	0.608709423475437	0.508918480468006	3717/817	2	KEGG
hsa04664	Fc epsilon RI signaling pathway	1/67	68/8265	0.0147058823529412	1.81409130816506	0.609366682683469	0.426359039616852	0.608709423475437	0.508918480468006	5578	1	KEGG
hsa05211	Renal cell carcinoma	1/67	68/8265	0.0147058823529412	1.81409130816506	0.609366682683469	0.426359039616852	0.608709423475437	0.508918480468006	1026	1	KEGG
hsa05416	Viral myocarditis	1/67	68/8265	0.0147058823529412	1.81409130816506	0.609366682683469	0.426359039616852	0.608709423475437	0.508918480468006	857	1	KEGG
hsa04517	IgSF CAM signaling	3/67	295/8265	0.0101694915254237	1.2544902605616	0.402375576831944	0.430283187811333	0.608709423475437	0.508918480468006	5578/2266/4629	3	KEGG
hsa04920	Adipocytokine signaling pathway	1/67	69/8265	0.0144927536231884	1.78780012978585	0.594043457501688	0.431047821408444	0.608709423475437	0.508918480468006	3717	1	KEGG
hsa04917	Prolactin signaling pathway	1/67	70/8265	0.0142857142857143	1.76226012793177	0.578970376278275	0.435698845806398	0.611148045459981	0.510957318289382	3717	1	KEGG
hsa01524	Platinum drug resistance	1/67	73/8265	0.0136986301369863	1.68983847883868	0.535170877473499	0.449428357751106	0.621663423125726	0.51974882014037	1026	1	KEGG
hsa04918	Thyroid hormone synthesis	1/67	74/8265	0.0135135135135135	1.66700282371924	0.521019128357011	0.453931324063444	0.621663423125726	0.51974882014037	5578	1	KEGG
hsa03320	PPAR signaling pathway	1/67	75/8265	0.0133333333333333	1.64477611940299	0.507079698631486	0.458398007165355	0.621663423125726	0.51974882014037	4023	1	KEGG
hsa04115	p53 signaling pathway	1/67	75/8265	0.0133333333333333	1.64477611940299	0.507079698631486	0.458398007165355	0.621663423125726	0.51974882014037	1026	1	KEGG
